Client Order ID,Instrument,Side,Quantity,Price
aa278,Rose,1,450,37
aa279,Lotus,1,880,53
aa280,Lavender,1,280,32
aa281,Rose,1,950,86
aa282,Tulip,2,330,16
aa283,Rose,1,700,69
aa284,Tulip,1,500,18
aa285,Orchid,2,20,58
aa286,Lotus,1,990,23
aa287,Rose,1,170,64
aa288,Lotus,2,180,15
aa289,Lotus,2,100,24
aa290,Orchid,2,180,73
aa291,Tulip,2,570,26
aa292,Tulip,1,490,61
aa293,Rose,2,80,26
aa294,Tulip,2,610,46
aa295,Tulip,2,560,55
aa296,Orchid,1,570,63
aa297,Lotus,1,930,50
aa298,Tulip,2,120,16
aa299,Lotus,2,990,29
aa300,Tulip,1,190,67
aa301,Tulip,1,780,72
aa302,Rose,2,90,25
aa303,Lavender,2,420,55
aa304,Lavender,2,450,53
aa305,Rose,1,30,100
aa306,Lavender,2,460,37
aa307,Lotus,1,870,64
aa308,Lotus,2,60,52
aa309,Rose,1,320,59
aa310,Tulip,2,20,70
aa311,Orchid,1,450,90
aa312,Rose,1,300,7
aa313,Orchid,2,310,55
aa314,Rose,2,280,76
aa315,Orchid,1,630,77
aa316,Lotus,1,740,57
aa317,Lavender,1,830,1
aa318,Lotus,2,710,12
aa319,Rose,1,300,52
aa320,Lotus,2,510,77
aa321,Lotus,2,860,99
aa322,Lavender,1,750,55
aa323,Orchid,2,500,16
aa324,Lavender,2,450,67
aa325,Rose,2,300,26
aa326,Rose,2,750,44
aa327,Lotus,1,390,30
aa328,Lavender,1,850,3
aa329,Orchid,1,950,99
aa330,Lavender,2,780,71
aa331,Rose,2,320,50
aa332,Orchid,2,280,79
aa333,Tulip,1,780,93
aa334,Lavender,2,930,1
aa335,Lotus,1,110,29
aa336,Orchid,2,480,98
aa337,Orchid,1,470,10
aa338,Lavender,1,910,0
aa339,Tulip,2,840,61
aa340,Lavender,2,20,78
aa341,Lotus,2,580,77
aa342,Rose,2,690,99
aa343,Lotus,1,230,34
aa344,Tulip,2,770,53
aa345,Tulip,2,120,62
aa346,Lotus,2,650,36
aa347,Lotus,2,550,37
aa348,Lavender,1,100,6
aa349,Lavender,2,700,30
aa350,Tulip,1,140,7
aa351,Orchid,1,190,58
aa352,Lavender,2,910,51
aa353,Tulip,2,110,79
aa354,Lavender,2,870,14
aa355,Lavender,1,80,22
aa356,Lotus,1,470,71
aa357,Orchid,1,810,1
aa358,Lotus,1,600,24
aa359,Tulip,2,590,16
aa360,Tulip,2,570,8
aa361,Tulip,1,50,46
aa362,Lotus,1,720,45
aa363,Lotus,1,560,49
aa364,Rose,2,990,4
aa365,Tulip,2,330,67
aa366,Tulip,2,570,72
aa367,Tulip,2,150,38
aa368,Lavender,2,590,97
aa369,Lavender,2,290,79
aa370,Lotus,1,340,28
aa371,Lotus,2,410,63
aa372,Lotus,2,230,11
aa373,Lotus,1,490,68
aa374,Orchid,1,50,2
aa375,Lavender,2,470,54
aa376,Lavender,1,160,93
aa377,Orchid,1,150,59
aa378,Rose,2,110,94
aa379,Lavender,2,390,96
aa380,Rose,1,200,100
aa381,Lavender,2,430,79
aa382,Lavender,2,910,47
aa383,Lavender,2,670,98
aa384,Lotus,2,790,12
aa385,Lotus,2,360,18
aa386,Rose,2,800,32
aa387,Tulip,2,370,54
aa388,Orchid,2,90,67
aa389,Lavender,1,120,46
aa390,Tulip,2,690,98
aa391,Tulip,2,290,52
aa392,Tulip,2,410,75
aa393,Rose,2,280,63
aa394,Lavender,1,320,97
aa395,Lavender,2,260,11
aa396,Lotus,2,530,33
aa397,Lotus,1,850,7
aa398,Lotus,2,520,4
aa399,Orchid,1,630,8
aa400,Orchid,2,860,73
aa401,Tulip,2,770,91
aa402,Rose,2,490,91
aa403,Rose,1,30,76
aa404,Lavender,2,60,67
aa405,Lavender,1,680,6
aa406,Rose,1,860,54
aa407,Lotus,2,340,50
aa408,Orchid,1,140,54
aa409,Rose,1,580,17
aa410,Lotus,2,800,27
aa411,Tulip,1,340,19
aa412,Lotus,2,540,76
aa413,Orchid,1,40,49
aa414,Rose,1,750,42
aa415,Lotus,2,540,79
aa416,Lotus,2,40,24
aa417,Lotus,1,820,47
aa418,Lotus,1,690,20
aa419,Orchid,2,920,0
aa420,Orchid,1,590,44
aa421,Lotus,2,90,71
aa422,Lavender,2,860,6
aa423,Tulip,2,430,71
aa424,Lotus,2,710,79
aa425,Lotus,2,550,90
aa426,Tulip,1,470,92
aa427,Tulip,1,740,32
aa428,Lavender,1,480,48
aa429,Tulip,2,300,38
aa430,Tulip,1,930,44
aa431,Lavender,2,960,34
aa432,Lotus,1,450,8
aa433,Tulip,2,420,33
aa434,Tulip,2,850,10
aa435,Tulip,1,970,79
aa436,Tulip,1,520,9
aa437,Orchid,2,70,14
aa438,Rose,2,270,9
aa439,Tulip,2,660,33
aa440,Lotus,2,240,95
aa441,Rose,2,830,12
aa442,Rose,2,620,54
aa443,Tulip,2,350,23
aa444,Tulip,1,220,53
aa445,Tulip,1,700,74
aa446,Rose,2,990,0
aa447,Orchid,2,440,38
aa448,Tulip,2,660,47
aa449,Rose,2,450,22
aa450,Lotus,1,220,69
aa451,Lavender,2,50,45
aa452,Tulip,2,810,30
aa453,Lavender,2,70,48
aa454,Orchid,2,20,51
aa455,Tulip,1,850,62
aa456,Rose,1,460,2
aa457,Orchid,1,220,89
aa458,Tulip,1,430,0
aa459,Orchid,1,230,36
aa460,Rose,2,980,71
aa461,Tulip,1,80,34
aa462,Rose,2,620,26
aa463,Lavender,2,60,67
aa464,Rose,2,350,8
aa465,Rose,1,350,17
aa466,Lavender,1,220,12
aa467,Lotus,2,600,55
aa468,Tulip,2,280,60
aa469,Lavender,2,70,92
aa470,Tulip,1,280,16
aa471,Tulip,2,370,47
aa472,Lavender,1,390,36
aa473,Orchid,1,360,63
aa474,Rose,1,130,46
aa475,Rose,2,800,28
aa476,Lotus,2,800,28
aa477,Orchid,1,720,73
aa478,Lavender,1,440,67
aa479,Lavender,2,600,97
aa480,Lavender,1,830,42
aa481,Orchid,1,350,72
aa482,Rose,2,100,14
aa483,Lotus,1,420,70
aa484,Lavender,1,110,36
aa485,Lotus,2,110,2
aa486,Lavender,1,440,100
aa487,Orchid,2,760,51
aa488,Tulip,2,580,20
aa489,Tulip,1,50,46
aa490,Lavender,1,960,57
aa491,Orchid,2,280,38
aa492,Tulip,2,80,86
aa493,Lotus,1,460,7
aa494,Lotus,1,750,2
aa495,Orchid,2,20,80
aa496,Lavender,2,360,20
aa497,Tulip,2,230,79
aa498,Lavender,2,860,2
aa499,Orchid,1,150,96
aa500,Orchid,1,480,21
aa501,Rose,2,290,84
aa502,Lavender,2,340,69
aa503,Rose,1,400,95
aa504,Orchid,1,80,90
aa505,Lotus,1,10,56
aa506,Orchid,1,600,65
aa507,Tulip,2,930,92
aa508,Orchid,1,770,20
aa509,Lotus,1,650,63
aa510,Lavender,1,790,25
aa511,Tulip,2,430,14
aa512,Lotus,2,630,93
aa513,Lotus,2,280,74
aa514,Lotus,1,950,47
aa515,Rose,2,850,0
aa516,Orchid,1,960,18
aa517,Orchid,1,10,91
aa518,Lotus,1,170,8
aa519,Orchid,2,350,76
aa520,Lavender,2,940,94
aa521,Lotus,1,590,33
aa522,Tulip,2,770,41
aa523,Orchid,1,330,56
aa524,Lavender,2,550,36
aa525,Lotus,1,700,95
aa526,Lotus,2,920,25
aa527,Orchid,1,640,11
aa528,Rose,2,760,83
aa529,Lavender,1,940,87
aa530,Rose,1,50,65
aa531,Orchid,1,950,87
aa532,Tulip,1,430,61
aa533,Lavender,2,460,28
aa534,Orchid,1,180,81
aa535,Lavender,2,200,99
aa536,Rose,2,960,7
aa537,Lavender,1,480,64
aa538,Lavender,2,480,85
aa539,Lotus,1,290,15
aa540,Orchid,2,850,96
aa541,Tulip,2,840,47
aa542,Tulip,1,590,20
aa543,Lotus,2,350,49
aa544,Rose,1,40,58
aa545,Orchid,2,600,35
aa546,Tulip,1,880,84
aa547,Lavender,2,930,63
aa548,Orchid,2,360,73
aa549,Orchid,2,720,48
aa550,Tulip,1,320,78
aa551,Lotus,1,60,53
aa552,Lavender,1,880,57
aa553,Lotus,1,250,91
aa554,Rose,1,30,58
aa555,Lavender,2,580,100
aa556,Tulip,1,670,100
aa557,Lotus,1,110,90
aa558,Orchid,2,560,19
aa559,Orchid,1,880,53
aa560,Rose,2,460,26
aa561,Lotus,1,760,24
aa562,Lotus,2,80,45
aa563,Rose,1,240,24
aa564,Tulip,2,610,44
aa565,Orchid,1,560,45
aa566,Orchid,1,340,36
aa567,Rose,2,30,64
aa568,Tulip,1,430,19
aa569,Lavender,1,510,68
aa570,Lavender,1,70,30
aa571,Lotus,2,20,63
aa572,Tulip,1,870,42
aa573,Rose,2,410,43
aa574,Lavender,2,410,61
aa575,Orchid,2,430,11
aa576,Tulip,2,780,17
aa577,Lotus,1,740,18
aa578,Tulip,1,720,40
aa579,Lotus,1,920,28
aa580,Tulip,1,50,30
aa581,Tulip,1,760,92
aa582,Lavender,2,520,95
aa583,Lotus,2,590,19
aa584,Orchid,1,470,98
aa585,Rose,2,270,3
aa586,Orchid,2,210,12
aa587,Rose,1,570,52
aa588,Lavender,2,250,2
aa589,Rose,1,430,97
aa590,Lotus,1,440,6
aa591,Lavender,1,620,55
aa592,Orchid,1,220,60
aa593,Orchid,1,420,11
aa594,Orchid,1,40,2
aa595,Tulip,1,360,96
aa596,Tulip,1,990,65
aa597,Lavender,2,710,34
aa598,Lavender,1,620,32
aa599,Rose,2,250,87
aa600,Tulip,2,300,2
aa601,Lavender,1,560,62
aa602,Orchid,2,460,58
aa603,Tulip,1,180,55
aa604,Tulip,2,640,44
aa605,Tulip,1,220,41
aa606,Orchid,1,570,16
aa607,Orchid,1,960,20
aa608,Tulip,2,70,99
aa609,Orchid,1,100,67
aa610,Orchid,2,120,41
aa611,Rose,1,790,56
aa612,Lavender,2,180,36
aa613,Lavender,1,270,8
aa614,Tulip,2,60,23
aa615,Rose,2,40,11
aa616,Rose,1,460,73
aa617,Lotus,2,320,70
aa618,Lotus,2,390,69
aa619,Lavender,2,380,30
aa620,Tulip,2,370,68
aa621,Rose,1,10,68
aa622,Tulip,1,560,73
aa623,Lotus,2,100,85
aa624,Orchid,1,670,1
aa625,Tulip,1,380,53
aa626,Rose,1,890,27
aa627,Tulip,2,590,22
aa628,Tulip,1,110,12
aa629,Orchid,2,390,20
aa630,Tulip,2,720,57
aa631,Orchid,1,540,80
aa632,Lavender,1,510,48
aa633,Orchid,2,200,81
aa634,Lavender,2,560,36
aa635,Orchid,1,430,99
aa636,Tulip,1,80,38
aa637,Lotus,2,440,29
aa638,Orchid,1,190,63
aa639,Tulip,1,630,12
aa640,Tulip,1,380,79
aa641,Lotus,1,90,21
aa642,Lotus,1,520,44
aa643,Lotus,2,230,52
aa644,Orchid,1,580,40
aa645,Rose,1,620,40
aa646,Orchid,1,660,58
aa647,Tulip,1,250,16
aa648,Lotus,2,450,58
aa649,Tulip,1,740,57
aa650,Lotus,2,320,92
aa651,Rose,2,650,48
aa652,Rose,2,800,91
aa653,Lotus,2,610,75
aa654,Rose,2,150,33
aa655,Orchid,1,860,34
aa656,Rose,1,760,77
aa657,Lavender,2,540,61
aa658,Lavender,2,600,46
aa659,Tulip,2,690,27
aa660,Lotus,2,360,53
aa661,Rose,2,730,41
aa662,Orchid,1,970,74
aa663,Lavender,1,350,42
aa664,Tulip,2,570,51
aa665,Lavender,1,590,17
aa666,Lavender,1,900,41
aa667,Tulip,2,610,94
aa668,Orchid,1,710,29
aa669,Lavender,1,930,14
aa670,Lotus,2,950,67
aa671,Lotus,2,640,1
aa672,Lotus,1,900,56
aa673,Orchid,1,20,74
aa674,Tulip,1,510,81
aa675,Orchid,1,810,27
aa676,Rose,1,1000,61
aa677,Orchid,2,910,67
aa678,Lavender,2,460,30
aa679,Tulip,1,170,48
aa680,Rose,1,590,55
aa681,Orchid,1,130,82
aa682,Rose,2,450,62
aa683,Lotus,2,850,50
aa684,Lavender,2,450,71
aa685,Lavender,2,240,39
aa686,Rose,1,850,62
aa687,Tulip,2,820,87
aa688,Rose,2,520,77
aa689,Tulip,1,780,8
aa690,Tulip,1,10,65
aa691,Tulip,2,290,94
aa692,Orchid,1,480,51
aa693,Lotus,2,420,27
aa694,Lavender,2,690,55
aa695,Lavender,1,650,7
aa696,Lavender,1,950,64
aa697,Rose,1,260,9
aa698,Tulip,2,610,76
aa699,Rose,1,510,52
aa700,Rose,1,230,53
aa701,Lotus,1,310,19
aa702,Orchid,2,910,31
aa703,Orchid,1,10,97
aa704,Lotus,1,300,57
aa705,Lotus,2,260,3
aa706,Rose,1,510,46
aa707,Lavender,1,580,42
aa708,Orchid,1,650,85
aa709,Orchid,1,960,76
aa710,Lavender,2,860,3
aa711,Lavender,2,850,2
aa712,Rose,1,950,48
aa713,Lotus,1,990,30
aa714,Tulip,1,350,39
aa715,Tulip,2,300,98
aa716,Lavender,1,790,12
aa717,Rose,1,790,26
aa718,Orchid,1,230,41
aa719,Rose,2,780,20
aa720,Lotus,1,90,14
aa721,Rose,1,610,89
aa722,Tulip,2,790,47
aa723,Tulip,2,760,63
aa724,Lavender,1,790,46
aa725,Tulip,1,570,89
aa726,Tulip,1,830,81
aa727,Tulip,2,620,19
aa728,Rose,1,130,9
aa729,Lotus,1,490,90
aa730,Lavender,1,80,95
aa731,Lotus,2,10,32
aa732,Lavender,2,10,94
aa733,Lotus,1,920,1
aa734,Orchid,1,10,5
aa735,Orchid,1,210,10
aa736,Rose,2,830,48
aa737,Orchid,2,810,64
aa738,Lotus,1,580,44
aa739,Lavender,1,520,13
aa740,Tulip,1,320,56
aa741,Tulip,2,900,95
aa742,Lotus,1,760,47
aa743,Tulip,1,670,15
aa744,Tulip,1,890,47
aa745,Lotus,1,330,0
aa746,Orchid,2,760,56
aa747,Lavender,1,510,11
aa748,Lavender,1,60,39
aa749,Lavender,2,270,50
aa750,Tulip,1,350,73
aa751,Tulip,2,200,69
aa752,Lotus,2,290,92
aa753,Orchid,2,540,55
aa754,Orchid,1,170,2
aa755,Orchid,2,130,64
aa756,Orchid,1,490,10
aa757,Rose,1,20,85
aa758,Lotus,1,360,9
aa759,Tulip,2,170,98
aa760,Rose,1,710,90
aa761,Lavender,1,170,43
aa762,Lavender,2,270,5
aa763,Tulip,1,760,79
aa764,Lotus,2,320,18
aa765,Lotus,2,760,29
aa766,Orchid,1,490,37
aa767,Tulip,2,440,82
aa768,Lavender,2,910,93
aa769,Lotus,2,970,90
aa770,Rose,2,190,40
aa771,Tulip,1,960,48
aa772,Tulip,1,590,23
aa773,Lavender,2,990,23
aa774,Lotus,1,620,57
aa775,Lavender,2,630,90
aa776,Tulip,1,500,52
aa777,Lavender,2,310,48
aa778,Lavender,1,760,68
aa779,Rose,1,820,83
aa780,Lavender,1,520,61
aa781,Lavender,1,450,63
aa782,Tulip,1,410,40
aa783,Tulip,2,470,8
aa784,Rose,1,360,41
aa785,Lavender,1,230,76
aa786,Lavender,2,10,54
aa787,Rose,1,440,58
aa788,Orchid,2,890,44
aa789,Tulip,1,460,31
aa790,Orchid,2,440,12
aa791,Tulip,2,750,84
aa792,Rose,1,500,20
aa793,Tulip,1,740,46
aa794,Orchid,1,530,46
aa795,Lotus,2,890,98
aa796,Lotus,2,810,12
aa797,Tulip,2,860,49
aa798,Lotus,2,200,53
aa799,Tulip,1,980,32
aa800,Tulip,2,470,80
aa801,Rose,1,500,77
aa802,Tulip,1,680,74
aa803,Orchid,1,340,46
aa804,Tulip,1,970,58
aa805,Rose,2,940,23
aa806,Rose,1,350,84
aa807,Lotus,1,320,41
aa808,Rose,2,860,58
aa809,Orchid,1,570,51
aa810,Tulip,1,610,57
aa811,Lavender,2,240,80
aa812,Lavender,2,930,24
aa813,Lotus,1,530,55
aa814,Rose,2,300,85
aa815,Rose,1,570,45
aa816,Lavender,1,290,22
aa817,Rose,2,1000,10
aa818,Rose,2,450,90
aa819,Tulip,2,90,97
aa820,Orchid,1,530,99
aa821,Orchid,2,540,52
aa822,Lavender,2,330,68
aa823,Lavender,1,660,15
aa824,Rose,2,760,24
aa825,Rose,2,910,26
aa826,Tulip,1,730,91
aa827,Orchid,1,410,52
aa828,Lotus,2,120,89
aa829,Rose,1,310,26
aa830,Tulip,2,280,45
aa831,Tulip,2,860,68
aa832,Lotus,2,460,71
aa833,Orchid,1,10,4
aa834,Lavender,1,240,75
aa835,Lotus,2,600,61
aa836,Lotus,2,70,71
aa837,Orchid,2,80,97
aa838,Lavender,2,290,85
aa839,Lotus,2,90,62
aa840,Rose,1,860,20
aa841,Lavender,1,850,4
aa842,Lotus,1,520,1
aa843,Rose,2,20,78
aa844,Rose,2,390,29
aa845,Lotus,1,70,7
aa846,Orchid,1,410,85
aa847,Tulip,1,920,87
aa848,Lotus,2,780,85
aa849,Tulip,1,590,53
aa850,Rose,1,320,21
aa851,Lotus,1,760,28
aa852,Orchid,2,560,18
aa853,Rose,1,750,17
aa854,Lavender,2,830,29
aa855,Lotus,1,120,61
aa856,Tulip,1,80,26
aa857,Rose,2,880,26
aa858,Lotus,2,120,17
aa859,Rose,1,730,53
aa860,Lavender,2,730,97
aa861,Rose,1,410,12
aa862,Orchid,1,320,94
aa863,Rose,1,270,76
aa864,Orchid,1,220,29
aa865,Tulip,2,370,76
aa866,Orchid,2,420,61
aa867,Lavender,2,530,66
aa868,Lavender,1,970,31
aa869,Orchid,1,190,88
aa870,Lavender,2,720,99
aa871,Lavender,1,920,92
aa872,Lavender,1,470,0
aa873,Lavender,2,530,57
aa874,Orchid,2,50,5
aa875,Lavender,1,780,15
aa876,Lavender,1,820,61
aa877,Tulip,2,390,74
aa878,Rose,1,820,64
aa879,Rose,1,610,61
aa880,Rose,1,400,37
aa881,Tulip,2,730,23
aa882,Lavender,1,950,53
aa883,Lotus,1,130,33
aa884,Orchid,1,70,87
aa885,Rose,2,840,87
aa886,Lotus,1,110,57
aa887,Lotus,2,900,16
aa888,Tulip,1,860,17
aa889,Tulip,2,610,91
aa890,Orchid,1,710,38
aa891,Lotus,1,70,43
aa892,Rose,2,750,31
aa893,Rose,1,780,16
aa894,Lavender,2,650,10
aa895,Lavender,1,560,100
aa896,Orchid,1,90,74
aa897,Rose,1,450,63
aa898,Lavender,1,70,43
aa899,Rose,1,10,87
aa900,Tulip,1,510,96
aa901,Orchid,2,70,93
aa902,Lavender,1,560,65
aa903,Lavender,2,110,82
aa904,Lotus,2,580,50
aa905,Rose,1,750,12
aa906,Tulip,2,460,22
aa907,Lavender,2,670,24
aa908,Lotus,2,890,71
aa909,Tulip,1,180,52
aa910,Rose,1,850,98
aa911,Lavender,1,580,99
aa912,Orchid,2,910,98
aa913,Rose,1,490,58
aa914,Lavender,2,640,99
aa915,Tulip,1,850,21
aa916,Tulip,1,610,12
aa917,Lavender,2,730,25
aa918,Lotus,1,290,78
aa919,Lotus,1,740,40
aa920,Orchid,2,370,95
aa921,Lavender,2,730,54
aa922,Lotus,2,110,25
aa923,Lavender,2,890,34
aa924,Rose,1,480,85
aa925,Lavender,1,510,67
aa926,Tulip,2,770,31
aa927,Lavender,2,690,20
aa928,Tulip,1,620,66
aa929,Rose,2,460,7
aa930,Orchid,2,600,63
aa931,Tulip,2,540,78
aa932,Rose,2,390,100
aa933,Tulip,1,690,80
aa934,Lotus,2,670,0
aa935,Lotus,1,620,0
aa936,Lotus,2,690,62
aa937,Orchid,1,920,74
aa938,Tulip,1,300,66
aa939,Rose,2,150,74
aa940,Rose,2,300,96
aa941,Tulip,1,980,20
aa942,Lavender,1,300,27
aa943,Orchid,1,290,20
aa944,Lotus,2,140,31
aa945,Lavender,1,310,93
aa946,Lotus,2,940,54
aa947,Tulip,1,580,87
aa948,Lotus,2,990,60
aa949,Orchid,2,190,87
aa950,Lotus,2,380,10
